"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4905","TC14 Header Why Telnyx menu Validation","","Mon Apr 21 19:21:41 GMT 2025","passed","Mon Apr 21 19:21:46 GMT 2025","","Header Navigation Tests","",""
"","1796","TC10: Invalid input","","Mon Apr 21 19:22:06 GMT 2025","passed","Mon Apr 21 19:22:07 GMT 2025","","Solutions Search","",""
"","5787","TC19 Facebook link opens in new tab","","Mon Apr 21 19:22:19 GMT 2025","passed","Mon Apr 21 19:22:25 GMT 2025","","Social Media Links","",""
"","5754","TC15 Header Resources menu Validation","","Mon Apr 21 19:21:46 GMT 2025","passed","Mon Apr 21 19:21:52 GMT 2025","","Header Navigation Tests","",""
"","6065","TC05 Accept Cookies","","Mon Apr 21 19:20:29 GMT 2025","passed","Mon Apr 21 19:20:35 GMT 2025","","Cookie Consent Banner","",""
"","3579","TC04 Switch currency to EUR","","Mon Apr 21 19:21:58 GMT 2025","passed","Mon Apr 21 19:22:01 GMT 2025","","Currency Tests","",""
"","5040","TC17 LinkedIn link opens in new tab","","Mon Apr 21 19:22:09 GMT 2025","passed","Mon Apr 21 19:22:14 GMT 2025","","Social Media Links","",""
"","5049","TC02: Valid email redirects to sign-up","","Mon Apr 21 19:20:48 GMT 2025","passed","Mon Apr 21 19:20:53 GMT 2025","","Form Validation Tests","",""
"","4776","TC12 Header Solutions menu Validation","","Mon Apr 21 19:21:33 GMT 2025","passed","Mon Apr 21 19:21:38 GMT 2025","","Header Navigation Tests","",""
"","22285","TC01 Footer ""Company"" Links Validation","","Mon Apr 21 19:21:04 GMT 2025","passed","Mon Apr 21 19:21:26 GMT 2025","","Navigation Tests","",""
"","4838","TC18 Twitter link opens in new tab","","Mon Apr 21 19:22:14 GMT 2025","passed","Mon Apr 21 19:22:19 GMT 2025","","Social Media Links","",""
"","3196","TC20 Social icons change color on hover","","Mon Apr 21 19:22:25 GMT 2025","passed","Mon Apr 21 19:22:28 GMT 2025","","Social Media Links","",""
"","4509","TC07 404 Page Behavior","","Mon Apr 21 19:20:22 GMT 2025","passed","Mon Apr 21 19:20:27 GMT 2025","","404 Page Behavior","",""
"","2354","TC09: Valid search input","","Mon Apr 21 19:22:03 GMT 2025","passed","Mon Apr 21 19:22:06 GMT 2025","","Solutions Search","",""
"","3883","TC16 Header Developers menu Validation","","Mon Apr 21 19:21:52 GMT 2025","passed","Mon Apr 21 19:21:56 GMT 2025","","Header Navigation Tests","",""
"","3423","TC03: Invalid email does not redirect to sign-up","","Mon Apr 21 19:20:53 GMT 2025","passed","Mon Apr 21 19:20:56 GMT 2025","","Form Validation Tests","",""
"","5466","TC11 Header Products menu Validation","","Mon Apr 21 19:21:28 GMT 2025","passed","Mon Apr 21 19:21:33 GMT 2025","","Header Navigation Tests","",""
"","9109","TC06 Clear Cookies","","Mon Apr 21 19:20:37 GMT 2025","passed","Mon Apr 21 19:20:46 GMT 2025","","Cookie Consent Banner","",""
"","3534","TC13 Header Pricing menu Validation","","Mon Apr 21 19:21:38 GMT 2025","passed","Mon Apr 21 19:21:41 GMT 2025","","Header Navigation Tests","",""
"","3449","TC08: Filter works correctly","","Mon Apr 21 19:20:58 GMT 2025","passed","Mon Apr 21 19:21:02 GMT 2025","","Solutions Filter","",""
